11^American President, The (1995)^ ^106 minutes^August 31, 1999^1995^English ^Comedy|Drama|Romance ^Michael Douglas|Annette Bening|Michael J. Fox|Martin Sheen|Anna Deavere Smith|Shawna Waldron|Samantha Mathis|David Paymer|Richard Dreyfuss|Nina Siemaszko|Wendie Malick|Beau Billingslea|Gail Strickland|Joshua Malina|Clement von Franckenstein|John Mahoney|John Mahon|Gabriel Jarret|Michael Douglas|Annette Bening|Michael J. Fox|Martin Sheen|Anna Deavere Smith ^Rob Reiner ,,,,,,,,,,,,,,,,,,,,
12^Dracula: Dead and Loving It (1995)^ ^88 minutes^June 29, 2004^1995^English|Deutsch ^Comedy|Horror ^Leslie Nielsen|Mel Brooks|Amy Yasbeck|Peter MacNicol|Lysette Anthony|Harvey Korman|Steven Weber|Mark Blankfield|Megan Cavanagh|Gregg Binkley|Anne Bancroft|Leslie Nielsen|Mel Brooks|Amy Yasbeck|Peter MacNicol|Lysette Anthony ^Mel Brooks ,,,,,,,,,,,,,,,,,,,,,
13^Balto (1995)^ ^78 minutes^February 19, 2002^1995^English ^Adventure|Animation|Children ^Kevin Bacon|Bob Hoskins|Bridget Fonda|Jim Cummings|Phil Collins|Juliette Brewer|Jack Angel|Danny Mann|Robbie Rist|Sandra Dickinson|Frank Welker|Miriam Margolyes|Lola Bates-Campbell|Kevin Bacon|Bob Hoskins|Bridget Fonda|Jim Cummings|Phil Collins ^Simon Wells ,,,,,,,,,,,,,,,,,,,,,
14^Nixon (1995)^ ^192 minutes^June 15, 1999^1995^English ^Drama ^Anthony Hopkins|Joan Allen|Powers Boothe|Ed Harris|Bob Hoskins|E.G. Marshall|David Paymer|David Hyde Pierce|Paul Sorvino|Mary Steenburgen|J. T. Walsh|James Woods|Brian Bedford|Kevin Dunn|Fyvush Finkel|Annabeth Gish|Larry Hagman|Madeline Kahn|Dan Hedaya|Bridgette Wilson|Tom Bower|Tony Goldwyn|Edward Herrmann|Tony Lo Bianco|Saul Rubinek|Robert Beltran|John Cunningham|John Diehl|John C. McGinley|Michael Chiklis|Ric Young|Boris Sichkin|Sam Waterston|Marley Shelton|Anthony Hopkins|Joan Allen|Powers Boothe|Ed Harris|Bob Hoskins ^Oliver Stone ,,,,,,,,,,,,,,,,,,,,,
15^Cutthroat Island (1995)^ ^119 minutes^July 25, 2000^1995^English|Latin ^Action|Adventure|Romance ^Geena Davis|Matthew Modine|Frank Langella|Maury Chaykin|Patrick Malahide|Stan Shaw|Rex Linn|Paul Dillon|Christopher Masterson|Jimmie F. Skaggs|Harris Yulin|Carl Chase|Peter Geeves|Angus Wright|Ken Bones|Mary Peach|Thomas Lockyer|Roger Booth|George Murcell|Simon Atherton|Dickey Beer|Christopher Halliday|Chris Johnston|Richard Leaf|Tam White|Rupert Vansittart|Nick Bartlett|David Bailie|Kwame Kwei-Armah|Ramon Tikaram|Christopher Adamson|Geena Davis|Matthew Modine|Frank Langella|Maury Chaykin|Patrick Malahide ^Renny Harlin ,,,,,,,,,,,,,,,,,,,,,
16^Casino (1995)^ ^178 minutes^February 24, 1998^1995^English ^Crime|Drama ^Robert De Niro|Sharon Stone|Joe Pesci|James Woods|Don Rickles|Alan King|Kevin Pollak|Pasquale Cajano|L.Q. Jones|Dick Smothers|Frank Vincent|Oscar Goodman|Richard Riehle|Catherine Scorsese|Vinny Vella|Nobu Matsuhisa|Erika von Tagen|Nick Mazzola|David Rose|John Bloom|Robert De Niro|Sharon Stone|Joe Pesci|James Woods|Don Rickles ^Martin Scorsese ,,,,,,,,,,,,,,,,,,,,,
17^Sense and Sensibility (1995)^ ^136 minutes^September 28, 2004^1995^English ^Drama|Romance ^Kate Winslet|Emma Thompson|Hugh Grant|Tom Wilkinson|Alan Rickman|Imogen Stubbs|Greg Wise|Hugh Laurie|Imelda Staunton|Robert Hardy|Oliver Ford Davies|James Fleet|Harriet Walter|Gemma Jones|Emilie François|Elizabeth Spriggs|Richard Lumsden|Kate Winslet|Emma Thompson|Hugh Grant|Tom Wilkinson|Alan Rickman ^Ang Lee ,,,,,,,,,,,,,,,,,,,,,
18^Four Rooms (1995)^ ^98 minutes^April 20, 1999^1995^English ^Comedy ^Tim Roth|Antonio Banderas|Jennifer Beals|Madonna|Marisa Tomei|Bruce Willis|Quentin Tarantino|Sammi Davis|Amanda de Cadenet|Valeria Golino|Lili Taylor|Lawrence Bender|Ione Skye|Alicia Witt|David Proval|Lana McKissack|Tamlyn Tomita|Kathy Griffin|Paul Calderon|Salma Hayek|Patricia Vonne|Danny Verduzco|Kimberly Blair|Marc Lawrence|Tim Roth|Antonio Banderas|Jennifer Beals|Madonna|Marisa Tomei ^Allison Anders|Alexandre Rockwell|Robert Rodriguez|Quentin Tarantino ,,,,,,,,,,,,,,,,,,,,,
19^Ace Ventura: When Nature Calls (1995)^ ^90 minutes^October 29, 1997^1995^English ^Comedy ^Jim Carrey|Ian McNeice|Simon Callow|Maynard Eziashi|Bob Gunton|Sophie Okonedo|Tommy Davidson|Adewale Akinnuoye-Agbaje|Danny D. Daniels|Sam Motoana Phillips|Damon Standifer|Andrew Steel|Bruce Spence|Tom Grunke|Arsenio 'Sonny' Trinidad|Jim Carrey|Ian McNeice|Simon Callow|Maynard Eziashi|Bob Gunton ^Steve Oedekerk ,,,,,,,,,,,,,,,,,,,,,
20^Money Train (1995)^ ^103 minutes^August 25, 1998^1995^English ^Action|Comedy|Crime|Drama|Thriller ^Wesley Snipes|Woody Harrelson|Jennifer Lopez|Robert Blake|Chris Cooper|Joe Grifasi|Scott Sowers|Skipp Sudduth|Aida Turturro|Vincent Pastore|Enrico Colantoni|Bill Nunn|Katie Gill|Jeremy Roberts|Joe Bacino|Wesley Snipes|Woody Harrelson|Jennifer Lopez|Robert Blake|Chris Cooper ^Joseph Ruben ,,,,,,,,,,,,,,,,,,,,,
21^Get Shorty (1995)^ ^105 minutes^March 26, 1997^1995^English ^Comedy|Crime|Thriller ^John Travolta|Gene Hackman|Rene Russo|Danny DeVito|Dennis Farina|Delroy Lindo|James Gandolfini|Jon Gries|Renee Props|David Paymer|Martin Ferrero|Miguel Sandoval|Jacob Vargas|Bobby Slayton|Linda Hart|Jeffrey J. Stephen|John Travolta|Gene Hackman|Rene Russo|Danny DeVito|Dennis Farina ^Barry Sonnenfeld ,,,,,,,,,,,,,,,,,,,,,
22^Copycat (1995)^ ^124 minutes^April 29, 1998^1995^English|Deutsch ^Crime|Drama|Horror|Mystery|Thriller ^Sigourney Weaver|Holly Hunter|Will Patton|William McNamara|Harry Connick Jr.|J.E. Freeman|Dermot Mulroney|John Rothman|Shannon O'Hurley|Bob Greene|Tony Haney|Danny Kovacs|Tahmus Rounds|Scott Devenney|David Michael Silverman|Sigourney Weaver|Holly Hunter|Will Patton|William McNamara|Harry Connick Jr. ^Jon Amiel ,,,,,,,,,,,,,,,,,,,,,
23^Assassins (1995)^ ^132 minutes^October 1, 1997^1995^English|Español|Nederlands ^Action|Crime|Thriller ^Sylvester Stallone|Antonio Banderas|Julianne Moore|Anatoli Davydov|Muse Watson|Steve Kahan|Kelly Rowan|Reed Diamond|Kai Wulff|Kerry Skalsky|James Douglas Haskins|Stephen Liska|John Harms|Edward J. Rosen|Christina Orchid|Choco Orta|Germán Legarreta|Sylvester Stallone|Antonio Banderas|Julianne Moore|Anatoli Davydov|Muse Watson ^Richard Donner ,,,,,,,,,,,,,,,,,,,,,
24^Powder (1995)^ ^111 minutes^August 10, 1999^1995^English ^Drama|Sci-Fi ^Mary Steenburgen|Sean Patrick Flanery|Lance Henriksen|Jeff Goldblum|Brandon Smith ^Victor Salva ,,,,,,,,,,,,,,,,,,,,,
25^Leaving Las Vegas (1995)^ ^112 minutes^January 27, 1998^1995^English ^Drama|Romance ^Nicolas Cage|Elisabeth Shue|Julian Sands|Richard Lewis|Steven Weber|Kim Adams|Emily Procter|Stuart Reynolds |Valeria Golino|Graham Beckel|Mariska Hargitay|Laurie Metcalf|Shawnee Smith|Nicolas Cage|Elisabeth Shue|Julian Sands|Richard Lewis|Steven Weber ^Mike Figgis ,,,,,,,,,,,,,,,,,,,,,
26^Othello (1995)^ ^123 minutes^January 18, 2000^1995^English ^Drama ^Laurence Fishburne|Irène Jacob|Kenneth Branagh|Nathaniel Parker|Indra Ové|Michael Maloney|Anna Patrick|Nicholas Farrell|Michael Sheen|Laurence Fishburne|Irène Jacob|Kenneth Branagh|Nathaniel Parker|Indra Ové ^Oliver Parker ,,,,,,,,,,,,,,,,,,,,,
27^Now and Then (1995)^ ^100 minutes^December 21, 1999^1995^English ^Children|Drama ^Christina Ricci|Rosie O'Donnell|Thora Birch|Melanie Griffith|Gaby Hoffmann|Demi Moore|Ashleigh Aston Moore|Rita Wilson|Walter Sparrow|Devon Sawa|Cloris Leachman|Janeane Garofalo|Hank Azaria|Bonnie Hunt|Lolita Davidovich|Brendan Fraser|Christina Ricci|Rosie O'Donnell|Thora Birch|Melanie Griffith|Gaby Hoffmann ^Lesli Linka Glatter ,,,,,,,,,,,,,,,,,,,,,
28^Persuasion (1995)^ ^104 minutes^February 1, 2000^1995^English ^Drama|Romance ^Amanda Root|Ciarán Hinds|Susan Fleetwood|Fiona Shaw|John Woodvine|Phoebe Nicholls|Samuel West|Sophie Thompson|Judy Cornwell|Simon Russell Beale|Felicity Dean|Roger Hammond|Victoria Hamilton|Corin Redgrave|Emma Roberts|Robert Glenister|Richard McCabe|Helen Schlesinger|Jane Wood|David Collings|Darlene Johnson|Cinnamon Faye|Isaac Maxwell-Hunt|Roger Llewellyn|Sally George|Lonnie James|Amanda Root|Ciarán Hinds|Susan Fleetwood|Fiona Shaw|John Woodvine ^Roger Michell ,,,,,,,,,,,,,,,,,,,,,
29^City of Lost Children, The (Cité des enfants perdus, La) (1995)^ ^108 minutes^October 19, 1999^1995^广州�?/ 廣州話|Français ^Adventure|Drama|Fantasy|Mystery|Sci-Fi ^Ron Perlman|Dominique Pinon|Judith Vittet|Daniel Emilfork|Jean-Claude Dreyfus|Geneviève Brunet|Odile Mallet|Mireille Mossé|Serge Merlin|Rufus|Ticky Holgado|Cris Huerta|Jean-Louis Trintignant|Joseph Lucien|Mapi Galán|Briac Barthélémy|Pierre-Quentin Faesch|Alexis Pivot|François Hadji-Lazaro|Dominique Bettenfeld|Lotfi Yahya Jedidi|Thierry Gibault|Marc Caro|Ham-Chau Luong|Frankie Pain|Enrique Villanueva|Dominique Chevalier|Lorella Cravotta|Éric Houzelot|Philippe Beautier|Marc Amyot|Jean-Philippe Labadie|Raphaèle Bouchard|Elisabeth Etienne|Rachel Boulenger|Michel Motu|Nane Germon|Ron Perlman|Dominique Pinon|Judith Vittet|Daniel Emilfork|Jean-Claude Dreyfus ^Jean-Pierre Jeunet|Marc Caro ,,,,,,,,,,,,,,,,,,,
30^Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)^ ^108 minutes^December 12, 2000^1995^普通话 ^Crime|Drama ^Gong Li|Li Bao-Tian|Wang Xiaoxiao|Li Xuejian|Chun Sung|Fu Biao|Gong Li|Li Bao-Tian|Wang Xiaoxiao|Li Xuejian|Chun Sung ^Zhang Yimou ,,,,,,,,,,,,,,,,,,,,,
31^Dangerous Minds (1995)^ ^99 minutes^July 13, 1999^1995^English ^Drama ^Michelle Pfeiffer|George Dzundza|Courtney B. Vance|Robin Bartlett|John Neville|Beatrice Winde|Lorraine Toussaint|Renoly Santiago|Wade Dominguez|Bruklin Harris|Mercello Thedford|Roberto Alvarez|Richard Grant|Marisela Gonzales|Toni Nichelle Buzhardt|Michelle Pfeiffer|George Dzundza|Courtney B. Vance|Robin Bartlett|John Neville ^John N. Smith ,,,,,,,,,,,,,,,,,,,,,
32^Twelve Monkeys (a.k.a. 12 Monkeys) (1995)^ ^129 minutes^March 31, 1998^1995^English|Français ^Mystery|Sci-Fi|Thriller ^Bruce Willis|Madeleine Stowe|Brad Pitt|Christopher Plummer|David Morse|Jon Seda|Frank Gorshin|Joseph Melito|Aaron Michael Lacey|Christopher Meloni|Joey Perillo|LisaGay Hamilton|Matt Ross|Annie Golden|Michael Chance|Vernon Campbell|H. Michael Walls|Bob Adrian|Simon Jones|Carol Florence|Bill Raymond|Ernest Abuba|Irma St. Paule|Rozwill Young|Nell Johnson|Frederick Strother|Charles Techman|Rick Warner|Anthony 'Chip' Brienza|Bruce Kirkpatrick|Wilfred Williams|Joilet Harris|Drucie McDaniel|John Blaisse|Louis Lippa|Stan Kang|Pat Dias|Felix Pire|Karl Warren|Joseph McKenna|Stephen Bridgewater|Ray Huffman|Charley Scalies|Robert O'Neill|Paul Meshejian|Kevin Thigpen|Harry O'Toole|Jann Ellis|Michael Ryan Segal|Korchenko|Chuck Jeffreys|Barry Price|John Panzarella|Janet Zappala|Lisa Talerico|Tiffany Baldwin|C.J. Byrnes|Tom Detrik|Joe Gerety|Renee Spei|Bonnie Loev|Raymond Mamrak|Sal Mazzotta|Allelon Ruggiero|Thang|Bruce Willis|Madeleine Stowe|Brad Pitt|Christopher Plummer|David Morse ^Terry Gilliam ,,,,,,,,,,,,,,,,,,,,,
34^Babe (1995)^ ^89 minutes^September 23, 2003^1995^English ^Children|Drama ^Christine Cavanaugh|Miriam Margolyes|Danny Mann|Hugo Weaving|Miriam Flynn|James Cromwell|Russi Taylor|Evelyn Krape|Michael Edward-Stevens|Charles Bartlett|Paul Livingston|Roscoe Lee Browne|Magda Szubanski|Zoe Burton|Paul Goddard|Wade Hayward|Brittany Byrnes|Mary Acres|Christine Cavanaugh|Miriam Margolyes|Danny Mann|Hugo Weaving|Miriam Flynn ^Chris Noonan ,,,,,,,,,,,,,,,,,,,,,
35^Carrington (1995)^ ^121 minutes^December 26, 2001^1995^English ^Drama|Romance ^Emma Thompson|Jonathan Pryce|Steven Waddington|Samuel West|Rufus Sewell|Penelope Wilton|Janet McTeer|Jeremy Northam|Alex Kingston|Richard Clifford|David Ryall|Stephen Boxer|Emma Thompson|Jonathan Pryce|Steven Waddington|Samuel West|Rufus Sewell ^Christopher Hampton ,,,,,,,,,,,,,,,,,,,,,
36^Dead Man Walking (1995)^ ^122 minutes^December 7, 1999^1995^English ^Crime|Drama ^Susan Sarandon|Sean Penn|Robert Prosky|Raymond J. Barry|R. Lee Ermey|Celia Weston|Lois Smith|Scott Wilson|Roberta Maxwell|Margo Martindale|Jack Black|Ray Aranha|Peter Sarsgaard|Barton Heyman|Steve Boles|Nesbitt Blaisdell|Larry Pine|Kevin Cooney|Clancy Brown|Michael Cullen|Missy Yager|Jenny Krochmal|Jon Abrahams|Arthur Bridgers|Steve Carlisle|Eva Amurri Martino|Jack Henry Robbins|Dennis Neal|Molly Bryant|Adele Robbins|Pete Burris|Joan Glover|Lenore Banks|Scott Sowers|Cortez Nance Jr.|Adam Nelson|Jeremy Knaster|Marcus Lyle Brown|Anthony Michael Frederick|Thomas McGowan|Codie Scott|Helen Prejean|Susan Sarandon|Sean Penn|Robert Prosky|Raymond J. Barry|R. Lee Ermey ^Tim Robbins ,,,,,,,,,,,,,,,,,,,,,
37^Across the Sea of Time (1995)^ ^51 minutes^March 31, 1996^1995^Pусский|English ^Documentary|IMAX ^Peter Reznick|John McDonough|Avi Hoffman|Matt Malloy|Abby Lewis ^Stephen Low ,,,,,,,,,,,,,,,,,,,,,
38^It Takes Two (1995)^ ^101 minutes^June 11, 2002^1995^English ^Children|Comedy ^Kirstie Alley|Steve Guttenberg|Ashley Olsen|Mary-Kate Olsen|Jane Sibbett|Philip Bosco|Michelle Grisom|Desmond Robertson|Tiny Mills|Shanelle Henry|Michèle Lonsdale Smith|Sean Orr|Elizabeth Walsh|Kirstie Alley|Steve Guttenberg|Ashley Olsen|Mary-Kate Olsen|Jane Sibbett ^Andy Tennant ,,,,,,,,,,,,,,,,,,,,,
39^Clueless (1995)^ ^97 minutes^August 30, 2005^1995^Español|English ^Comedy|Romance ^Alicia Silverstone|Stacey Dash|Brittany Murphy|Paul Rudd|Donald Faison|Elisa Donovan|Breckin Meyer|Jeremy Sisto|Dan Hedaya|Wallace Shawn|Twink Caplan|Justin Walker|Julie Brown|Nicole Bilderback|Alicia Silverstone|Stacey Dash|Brittany Murphy|Paul Rudd|Donald Faison ^Amy Heckerling ,,,,,,,,,,,,,,,,,,,,,
40^Cry, the Beloved Country (1995)^ ^106 minutes^July 1, 2003^1995^English ^Drama ^James Earl Jones|Charles S. Dutton|Jack Robinson|Tsholofelo Wechoemang|Ramalao Makhene|Richard Harris|Dolly Rathebe|Jennifer Steyn|Ian Roberts|David Clatworthy|James Earl Jones|Charles S. Dutton|Jack Robinson|Tsholofelo Wechoemang|Ramalao Makhene ^Darrell James Roodt ,,,,,,,,,,,,,,,,,,,,
41^Richard III (1995)^ ^104 minutes^March 28, 2000^1995^English ^Drama|War ^Ian McKellen|Annette Bening|Jim Broadbent|Kristin Scott Thomas|Adrian Dunbar|Maggie Smith|Tim McInnerny|Robert Downey Jr.|Edward Hardwicke|Nigel Hawthorne|Jim Carter|Dominic West|John Wood|Roger Hammond|Bill Paterson|Donald Sumpter|James Dreyfus|Derek Lyons|Ian McKellen|Annette Bening|Jim Broadbent|Kristin Scott Thomas|Adrian Dunbar ^Richard Loncraine ,,,,,,,,,,,,,,,,,,,,,
42^Dead Presidents (1995)^ ^119 minutes^May 20, 1998^1995^English ^Action|Crime|Drama ^Larenz Tate|Keith David|Chris Tucker|Freddy Rodríguez|Rose Jackson|N'Bushe Wright|Clifton Powell|Terrence Howard|Bokeem Woodbine|Sticky Fingaz|Clifton Collins Jr|Elizabeth Rodriguez|Michael Imperioli|Larenz Tate|Keith David|Chris Tucker|Freddy Rodríguez|Rose Jackson ^Albert Hughes|Allen Hughes ,,,,,,,,,,,,,,,,,,,,,
43^Restoration (1995)^ ^117 minutes^August 3, 1999^1995^English|Español ^Drama ^Robert Downey Jr.|Meg Ryan|Sam Neill|David Thewlis|Hugh Grant|Polly Walker|Ian McKellen|Ian McDiarmid|Mary MacLeod|Willie Ross|Robert Downey Jr.|Meg Ryan|Sam Neill|David Thewlis|Hugh Grant ^Michael Hoffman ,,,,,,,,,,,,,,,,,,,,,
44^Mortal Kombat (1995)^ ^101 minutes^March 26, 1997^1995^English ^Action|Adventure|Fantasy ^Christopher Lambert|Robin Shou|Linden Ashby|Cary-Hiroyuki Tagawa|Bridgette Wilson|Talisa Soto|Trevor Goddard|Chris Casamassa|François Petit|Keith Cooke|Ed Boon|Christopher Lambert|Robin Shou|Linden Ashby|Cary-Hiroyuki Tagawa|Bridgette Wilson ^Paul W.S. Anderson ,,,,,,,,,,,,,,,,,,,,,
45^To Die For (1995)^ ^106 minutes^November 10, 1998^1995^English ^Comedy|Drama|Thriller ^Nicole Kidman|Matt Dillon|Joaquin Phoenix|Casey Affleck|Illeana Douglas|Alison Folland|Dan Hedaya|Wayne Knight|David Cronenberg|Kurtwood Smith|Holland Taylor|Susan Traylor|Maria Tucci|Tim Hopper|Nicole Kidman|Matt Dillon|Joaquin Phoenix|Casey Affleck|Illeana Douglas ^Gus Van Sant ,,,,,,,,,,,,,,,,,,,,,
46^How to Make an American Quilt (1995)^ ^116 minutes^February 23, 1999^1995^English ^Drama|Romance ^Winona Ryder|Anne Bancroft|Ellen Burstyn|Kate Nelligan|Jean Simmons|Maya Angelou|Alfre Woodard|Dermot Mulroney|Lois Smith|Kate Capshaw|Rip Torn|Johnathon Schaech|Samantha Mathis|Joanna Going|Esther Rolle|Jared Leto|Claire Danes|Lecy Goranson|Holland Taylor|Tim Guinee|Derrick O'Connor|Loren Dean|Melinda Dillon|Richard Jenkins|Denis Arndt|Adam Baldwin|Michael McElroy|Ari Meyers|Jane Alden|Tamala Jones|Rae'Ven Larrymore Kelly|Alicia Goranson|Will Estes|Mykelti Williamson|Winona Ryder|Anne Bancroft|Ellen Burstyn|Kate Nelligan|Jean Simmons ^Jocelyn Moorhouse ,,,,,,,,,,,,,,,,,,,,,
47^Seven (a.k.a. Se7en) (1995)^ ^127 minutes^March 25, 1997^1995^English ^Mystery|Thriller ^Brad Pitt|Morgan Freeman|Gwyneth Paltrow|John C. McGinley|Kevin Spacey|R. Lee Ermey|Richard Roundtree|Richard Schiff|Julie Araskog|Mark Boone Junior|John Cassini|Reg E. Cathey|Peter Crombie|Hawthorne James|Michael Massee|Leland Orser|Richard Portnow|Daniel Zacapa|Alfonso Freeman|Harris Savides|Andrew Kevin Walker|Richmond Arquette|Pamala Tyson|Emily Wagner|Shannon Wilcox|George Christy|Endre Hules|William Davidson|Bob Collins|Dominique Jennings|Allan Kolman|Gene Borkan|Mario Di Donato|Harrison White|Bob Stephenson|Michael Reid MacKay|Lennie Loftin|Martin Serene|David Correia|Lexie Bigham|Evan Mirand|Paul Eckstein|Rachel Flanagan|Heidi Schanz|Brian Evers|James Deeth|Charles A. Tamburro|Charles S. Dutton|Arthur Max|Brad Pitt|Morgan Freeman|Gwyneth Paltrow|John C. McGinley|Kevin Spacey ^David Fincher ,,,,,,,,,,,,,,,,,,,,,
